round,client,loss,accuracy,Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting
8,MEAN,1.1096,0.5195,0.7100,0.6947,0.4395,0.2976,0.4246,0.5081,0.2925,0.3678
9,1,1.2951,0.4902,0.7668,0.0408,0.2353,0.3511,0.5308,0.0000,0.4250,0.0568
9,2,1.2068,0.4415,0.7423,0.0566,0.5412,0.2458,0.0847,0.1226,0.4922,0.2251
9,3,1.8716,0.2227,0.2360,0.7662,0.6903,0.2208,0.2343,0.1437,0.1749,0.3051
9,4,1.6533,0.2757,0.7091,0.2430,0.3953,0.1710,0.1982,0.1282,0.2953,0.2761
9,5,2.0801,0.2140,0.3146,0.7778,0.4706,0.3223,0.2791,0.1181,0.0259,0.0000
9,6,2.0080,0.1778,0.4839,0.6667,0.6237,0.2467,0.0734,0.1421,0.0885,0.2206
9,7,1.4165,0.3920,0.7320,0.2712,0.7162,0.1476,0.5624,0.1400,0.3630,0.1221
9,8,1.4500,0.3708,0.5599,0.4265,0.5493,0.0000,0.3256,0.1067,0.3042,0.3622
9,9,0.9434,0.6596,0.7593,0.0000,0.0784,0.3846,0.8412,0.4000,0.3038,0.3182
9,10,1.2874,0.5300,0.7889,0.2540,0.0952,0.2807,0.2365,0.2182,0.2098,0.2989
9,MEAN,1.5212,0.3774,0.6093,0.3503,0.4395,0.2371,0.3366,0.1519,0.2683,0.2185
10,1,1.0095,0.5448,0.8852,0.2500,0.2353,0.3705,0.6441,0.0136,0.4951,0.0520
10,2,0.9431,0.5748,0.8758,0.2727,0.5412,0.3130,0.1195,0.7137,0.5795,0.2399
10,3,1.2680,0.4995,0.3206,0.9291,0.6903,0.2990,0.4320,0.7472,0.2836,0.4138
10,4,1.0945,0.5691,0.8520,0.6842,0.3953,0.2687,0.3303,0.7753,0.4225,0.3585
10,5,1.4926,0.3433,0.5470,0.8235,0.4706,0.3797,0.5821,0.4982,0.0394,0.0241
10,6,1.2896,0.4968,0.6856,0.9206,0.6237,0.3463,0.2140,0.7380,0.1492,0.2644
10,7,0.9502,0.6410,0.8812,0.6957,0.7130,0.2704,0.6923,0.7783,0.4828,0.1089
10,8,1.2435,0.4728,0.7130,0.7671,0.5455,0.0500,0.4129,0.8000,0.3295,0.4700
10,9,0.8255,0.7309,0.8811,0.0000,0.0784,0.3077,0.8940,0.3158,0.3547,0.4273
10,10,1.0713,0.6729,0.9050,0.6154,0.0952,0.3448,0.3695,0.5882,0.2633,0.4407
10,MEAN,1.1188,0.5546,0.7547,0.5958,0.4388,0.2950,0.4690,0.5968,0.3400,0.2800
11,1,0.8600,0.5583,0.9165,0.0488,0.2353,0.4770,0.6379,0.0190,0.5071,0.0514
11,2,0.8718,0.5893,0.9063,0.2069,0.5412,0.4075,0.1217,0.7728,0.5876,0.3053
11,3,1.0259,0.5839,0.7368,0.9333,0.6903,0.3878,0.4451,0.7935,0.3235,0.5974
11,4,0.9187,0.6379,0.9142,0.5556,0.3953,0.3843,0.3345,0.8404,0.4649,0.4916
11,5,1.1427,0.4221,0.9167,0.5600,0.4706,0.4792,0.6094,0.5327,0.0499,0.0395
11,6,1.0155,0.5843,0.9080,0.8286,0.6237,0.4447,0.2659,0.7918,0.1953,0.3967
11,7,0.8302,0.6656,0.9010,0.3279,0.7130,0.3441,0.6788,0.8335,0.5157,0.1210
11,8,1.0676,0.6095,0.8970,0.7901,0.5455,0.1000,0.4104,0.8661,0.3798,0.6958
11,9,0.7275,0.7544,0.9099,0.0000,0.0784,0.4286,0.8582,0.3333,0.3943,0.6715
11,10,0.9255,0.7312,0.9239,0.6316,0.0952,0.5027,0.3745,0.6667,0.2982,0.6562
11,MEAN,0.9385,0.6136,0.8930,0.4883,0.4388,0.3956,0.4736,0.6450,0.3716,0.4026
12,1,1.4265,0.4974,0.8348,0.0267,0.2353,0.2421,0.5556,0.0000,0.4224,0.0645
12,2,1.2459,0.4823,0.7962,0.0526,0.5412,0.1905,0.1046,0.0276,0.4992,0.2166
12,3,2.3026,0.1899,0.1878,0.8811,0.6903,0.2203,0.2229,0.0326,0.1618,0.2648
12,4,1.9750,0.2664,0.7668,0.3030,0.3953,0.1493,0.2097,0.0268,0.2752,0.2425
12,5,2.6022,0.1601,0.3386,0.5185,0.4706,0.2527,0.2371,0.0246,0.0264,0.0000
12,6,2.5371,0.1301,0.5167,0.7436,0.6237,0.2123,0.0672,0.0331,0.0746,0.2150
12,7,1.6485,0.3923,0.8244,0.2500,0.7162,0.1321,0.5785,0.0255,0.3471,0.1043
12,8,1.6442,0.3687,0.6006,0.5789,0.5493,0.0000,0.3586,0.0278,0.2988,0.3061
12,9,0.9792,0.6763,0.8533,0.0000,0.0784,0.3200,0.8629,0.0000,0.3176,0.2626
12,10,1.3467,0.6094,0.8822,0.3051,0.0952,0.2222,0.3843,0.0000,0.2089,0.2536
12,MEAN,1.7708,0.3773,0.6601,0.3660,0.4395,0.1941,0.3581,0.0198,0.2632,0.1930
13,1,0.8637,0.5403,0.8207,0.0101,0.2353,0.6088,0.6809,0.0169,0.4438,0.0436
13,2,0.9551,0.5148,0.7946,0.0208,0.5412,0.5330,0.1449,0.6897,0.5100,0.3109
13,3,1.0128,0.5773,0.5135,0.8936,0.6903,0.4756,0.4982,0.7202,0.3143,0.6528
13,4,0.9616,0.5735,0.8116,0.1485,0.3953,0.3918,0.3762,0.7426,0.4315,0.5307
13,5,1.0349,0.4860,0.7848,0.5000,0.4706,0.5859,0.7358,0.5117,0.0528,0.0329
13,6,1.0017,0.5523,0.7841,0.5859,0.6237,0.4890,0.3345,0.7100,0.1934,0.4248
13,7,0.8968,0.5829,0.8005,0.1341,0.7162,0.3462,0.7096,0.7219,0.4478,0.1152
13,8,1.0137,0.6416,0.7736,0.4962,0.5493,0.1429,0.4479,0.7692,0.3636,0.7787
13,9,0.7104,0.7422,0.8220,0.0000,0.0784,0.5357,0.8920,0.4286,0.3915,0.7646
13,10,0.9098,0.6882,0.8475,0.1440,0.0952,0.6176,0.5641,0.6250,0.2939,0.7409
13,MEAN,0.9361,0.5899,0.7753,0.2933,0.4395,0.4727,0.5384,0.5936,0.3443,0.4395
14,1,1.1277,0.4694,0.5823,0.0050,0.6667,0.4519,0.6742,0.0301,0.4359,0.0413
14,2,1.1424,0.4181,0.5376,0.0124,0.6061,0.3184,0.1408,0.4916,0.5260,0.2099
14,3,1.3883,0.3569,0.1300,0.5690,0.5556,0.2921,0.4465,0.5088,0.2183,0.3297
14,4,1.2704,0.3827,0.5192,0.0616,0.3810,0.2269,0.3415,0.5209,0.3666,0.2807
14,5,1.5836,0.3156,0.3415,0.3529,0.6667,0.4074,0.6425,0.3798,0.0418,0.0000
14,6,1.4443,0.3472,0.3909,0.3163,0.6190,0.3182,0.2190,0.5098,0.1294,0.2076
14,7,1.1232,0.4585,0.5763,0.0571,0.5357,0.1798,0.6933,0.5099,0.4457,0.0947
14,8,1.2924,0.3734,0.4120,0.2342,0.5556,0.0556,0.4437,0.4894,0.3310,0.4024
14,9,0.8842,0.5891,0.6146,0.0000,0.6667,0.3529,0.8845,0.3636,0.2875,0.3470
14,10,1.1488,0.4429,0.6473,0.0759,0.0000,0.3543,0.5269,0.5063,0.2308,0.3451
14,MEAN,1.2405,0.4154,0.4752,0.1684,0.5253,0.2958,0.5013,0.4310,0.3013,0.2259
15,1,0.9220,0.5976,0.9269,0.0444,0.2353,0.4109,0.6634,0.0204,0.5922,0.0745
15,2,0.8572,0.6505,0.9164,0.1277,0.5412,0.3651,0.1373,0.7303,0.6918,0.2335
15,3,1.1256,0.5169,0.5753,0.9333,0.6903,0.3203,0.4749,0.7649,0.3196,0.3404
15,4,0.9686,0.6070,0.9134,0.5000,0.3953,0.2962,0.3555,0.7951,0.5225,0.2993
15,5,1.3973,0.3582,0.8148,0.5600,0.4706,0.3913,0.7065,0.5090,0.0542,0.0143
15,6,1.1548,0.5200,0.8753,0.8286,0.6237,0.3456,0.2977,0.7569,0.1981,0.2719
15,7,0.8250,0.6740,0.9266,0.3226,0.7130,0.2527,0.6985,0.7798,0.6184,0.1280
15,8,1.2287,0.4702,0.8811,0.7356,0.5455,0.1739,0.4424,0.8000,0.3702,0.3909
15,9,0.7705,0.7157,0.9253,0.0000,0.0784,0.4906,0.8748,0.5000,0.3753,0.3537
15,10,1.0022,0.6694,0.9307,0.5538,0.0952,0.3721,0.4293,0.5882,0.2632,0.3333
15,MEAN,1.0252,0.5779,0.8686,0.4606,0.4388,0.3419,0.5080,0.6245,0.4006,0.2440
16,1,0.7149,0.6271,0.9485,0.2222,0.2353,0.6221,0.7326,0.0172,0.5736,0.0502
16,2,0.7721,0.6479,0.9414,0.2143,0.5412,0.5519,0.1690,0.8268,0.6361,0.3192
16,3,0.7703,0.6841,0.8462,0.9219,0.6903,0.5359,0.5468,0.8580,0.4400,0.6423
16,4,0.7248,0.7266,0.9515,0.6341,0.3953,0.5390,0.4191,0.9032,0.5618,0.5308
16,5,0.8217,0.5140,0.9444,0.8750,0.4706,0.5766,0.8168,0.5543,0.0805,0.0401
16,6,0.7408,0.6888,0.9581,0.8889,0.6237,0.5685,0.3710,0.8481,0.3165,0.4420
16,7,0.6695,0.7504,0.9402,0.6154,0.7130,0.5118,0.7607,0.9144,0.6007,0.1257
16,8,0.8933,0.6939,0.9431,0.7887,0.5455,0.3529,0.5238,0.9412,0.4548,0.7700
16,9,0.5973,0.8196,0.9425,0.0000,0.0784,0.5455,0.9242,0.4000,0.4427,0.7434
16,10,0.7226,0.7959,0.9547,0.7273,0.0952,0.5895,0.5412,0.6833,0.3567,0.7387
16,MEAN,0.7427,0.6948,0.9371,0.5888,0.4388,0.5394,0.5805,0.6947,0.4464,0.4402
17,1,1.2686,0.4546,0.6248,0.0063,0.2353,0.4188,0.6214,0.0250,0.3914,0.0397
17,2,1.2538,0.3989,0.5844,0.0123,0.5412,0.3091,0.1162,0.3925,0.4723,0.1983
17,3,1.6578,0.3181,0.1591,0.6961,0.6903,0.2918,0.3541,0.4048,0.1786,0.3429
17,4,1.4851,0.3306,0.5645,0.0796,0.3953,0.2140,0.2725,0.4019,0.3004,0.2773
17,5,1.8929,0.2864,0.3121,0.3590,0.4706,0.3947,0.5221,0.3001,0.0343,0.0000
17,6,1.7507,0.2870,0.4041,0.3648,0.6237,0.3052,0.1538,0.3947,0.0949,0.2532
17,7,1.2915,0.4247,0.6186,0.0944,0.7162,0.1719,0.6415,0.3776,0.3800,0.1047
17,8,1.4630,0.3672,0.4440,0.2785,0.5493,0.0606,0.3880,0.4731,0.3048,0.3780
17,9,0.9295,0.5967,0.6473,0.0000,0.0784,0.4444,0.8684,0.2000,0.2772,0.3407
17,10,1.2386,0.4494,0.6729,0.0816,0.0952,0.3314,0.4422,0.4058,0.2005,0.3237
17,MEAN,1.4232,0.3914,0.5032,0.1973,0.4395,0.2942,0.4380,0.3375,0.2634,0.2259
18,1,0.7904,0.6192,0.9360,0.0308,0.2353,0.6447,0.7196,0.0253,0.5319,0.0476
18,2,0.8597,0.6128,0.9155,0.0800,0.5412,0.5214,0.1729,0.7123,0.5996,0.2967
18,3,0.8999,0.6038,0.5946,0.9197,0.6903,0.4867,0.5483,0.7518,0.3809,0.6383
18,4,0.8480,0.6364,0.9198,0.3846,0.3953,0.4127,0.4193,0.7819,0.5307,0.5280
18,5,0.9678,0.5099,0.9589,0.5600,0.4706,0.6021,0.8161,0.5299,0.0692,0.0345
18,6,0.8965,0.5971,0.9121,0.7945,0.6237,0.5204,0.3932,0.7475,0.2601,0.4162
18,7,0.7803,0.6574,0.9266,0.2817,0.7130,0.3688,0.7376,0.7744,0.5562,0.1180
18,8,0.9556,0.6680,0.9200,0.7033,0.5493,0.2069,0.5071,0.8000,0.4337,0.7534
18,9,0.6320,0.7983,0.9593,0.0000,0.0784,0.5862,0.9048,0.4000,0.4030,0.7285
18,10,0.8128,0.7947,0.9608,0.4500,0.0952,0.6169,0.6667,0.6931,0.3269,0.7099
18,MEAN,0.8443,0.6498,0.9004,0.4205,0.4392,0.4967,0.5886,0.6216,0.4092,0.4271
19,1,0.9979,0.5174,0.6260,0.0060,0.2353,0.6136,0.7127,0.0206,0.4431,0.0406
19,2,1.0652,0.4430,0.5803,0.0117,0.5412,0.4324,0.1646,0.4552,0.5258,0.2526
19,3,1.2415,0.4195,0.1863,0.7119,0.6903,0.3839,0.5338,0.4866,0.2562,0.5089
19,4,1.1598,0.4194,0.5826,0.0785,0.3953,0.3052,0.4035,0.4825,0.4093,0.4426
19,5,1.3643,0.4259,0.4948,0.3784,0.4706,0.5602,0.7717,0.3471,0.0448,0.0194
19,6,1.2894,0.3986,0.4871,0.3766,0.6237,0.4276,0.3498,0.4753,0.1454,0.3411
19,7,1.0430,0.4678,0.6142,0.0902,0.7162,0.2452,0.7325,0.4604,0.4309,0.1111
19,8,1.1569,0.4992,0.4788,0.2857,0.5493,0.0488,0.4895,0.5361,0.3870,0.6109
19,9,0.7699,0.6422,0.6634,0.0000,0.0784,0.5424,0.8988,0.1818,0.3358,0.5532
19,10,1.0399,0.5324,0.6985,0.0798,0.0952,0.5600,0.6241,0.5600,0.2757,0.5725
19,MEAN,1.1128,0.4765,0.5412,0.2019,0.4395,0.4119,0.5681,0.4006,0.3254,0.3453
20,1,0.8122,0.5736,0.8826,0.0198,0.2353,0.6619,0.7289,0.0269,0.4106,0.0393
20,2,0.9160,0.5369,0.8642,0.0465,0.5412,0.4851,0.1818,0.7002,0.4695,0.2805
20,3,0.8489,0.6098,0.4884,0.8514,0.6903,0.5086,0.5820,0.7437,0.3650,0.6504
20,4,0.8452,0.5994,0.8724,0.2290,0.3953,0.4114,0.4310,0.7625,0.4290,0.5133
20,5,0.8869,0.5245,0.8611,0.4828,0.4706,0.6254,0.8554,0.5325,0.0493,0.0276
20,6,0.8493,0.5867,0.8634,0.6591,0.6237,0.5241,0.4107,0.7287,0.2369,0.3775
20,7,0.8008,0.6157,0.8738,0.2292,0.7162,0.3713,0.7478,0.7552,0.4455,0.1101
20,8,0.8746,0.6717,0.8728,0.5739,0.5493,0.1091,0.5204,0.7899,0.3518,0.7890
20,9,0.6265,0.7983,0.9333,0.0000,0.0784,0.5806,0.9056,0.4286,0.3491,0.7826
20,10,0.8052,0.7835,0.9351,0.2951,0.0952,0.5915,0.6565,0.6735,0.2857,0.7743
20,MEAN,0.8266,0.6300,0.8447,0.3387,0.4395,0.4869,0.6020,0.6142,0.3393,0.4345
21,1,0.8051,0.6332,0.8730,0.0143,0.2353,0.7231,0.7674,0.0388,0.5513,0.0439
21,2,0.8628,0.5793,0.8502,0.0296,0.5412,0.5284,0.2010,0.5172,0.6184,0.2738
21,3,0.9625,0.5169,0.5538,0.8163,0.6903,0.4671,0.5935,0.5562,0.3874,0.5863
21,4,0.9241,0.5075,0.8563,0.1697,0.3953,0.3502,0.4731,0.5305,0.5125,0.4729
21,5,1.0340,0.5091,0.8986,0.5833,0.4706,0.6370,0.8721,0.3898,0.0779,0.0261
21,6,0.9998,0.4791,0.8795,0.5979,0.6237,0.4945,0.3948,0.5282,0.2580,0.3445
21,7,0.8543,0.5499,0.8630,0.1667,0.7162,0.3024,0.7759,0.5053,0.5597,0.1103
21,8,0.8828,0.6504,0.8791,0.5424,0.5493,0.1333,0.5659,0.5941,0.4444,0.7416
21,9,0.6492,0.7718,0.8948,0.0000,0.0784,0.6000,0.9263,0.3333,0.3817,0.6937
21,10,0.8507,0.7153,0.8847,0.1791,0.0952,0.6239,0.6471,0.5195,0.3522,0.7010
21,MEAN,0.8825,0.5912,0.8433,0.3099,0.4395,0.4860,0.6217,0.4513,0.4143,0.3994
22,1,0.7138,0.6179,0.9266,0.0211,0.6667,0.6832,0.7390,0.0190,0.5480,0.0447
22,2,0.8099,0.6208,0.9022,0.0438,0.6061,0.6140,0.1902,0.8217,0.6055,0.3388
22,3,0.7242,0.7121,0.7368,0.9130,0.5556,0.5940,0.5868,0.8506,0.4767,0.7181
22,4,0.7270,0.7285,0.9168,0.2703,0.3810,0.5695,0.4434,0.8961,0.5543,0.5975
22,5,0.7308,0.5611,0.9143,0.5000,0.6667,0.6404,0.8659,0.5615,0.1245,0.0435
22,6,0.7076,0.7087,0.9388,0.7436,0.6190,0.6175,0.4259,0.8469,0.3678,0.4504
22,7,0.6997,0.7109,0.9259,0.2444,0.5357,0.5156,0.7514,0.8944,0.5779,0.1137
22,8,0.7880,0.7846,0.9095,0.6346,0.5556,0.3158,0.5385,0.9333,0.5483,0.8759
22,9,0.5777,0.8302,0.9397,0.0000,0.6667,0.5763,0.9082,0.3529,0.4831,0.8102
22,10,0.7305,0.8276,0.9353,0.2880,0.0000,0.7019,0.6667,0.7387,0.4465,0.8363
22,MEAN,0.7209,0.7102,0.9046,0.3659,0.5253,0.5828,0.6116,0.6915,0.4733,0.4829
23,1,0.6620,0.6501,0.9309,0.0244,0.2353,0.7175,0.8473,0.0214,0.5988,0.0398
23,2,0.7623,0.6384,0.9156,0.0638,0.5412,0.6046,0.3183,0.8085,0.6130,0.3117
23,3,0.6996,0.7178,0.6462,0.9130,0.6903,0.6138,0.7208,0.8243,0.5396,0.7241
23,4,0.7063,0.7171,0.9187,0.3000,0.3953,0.5447,0.6110,0.8609,0.5874,0.5721
23,5,0.6793,0.6196,0.9296,0.5185,0.4706,0.7070,0.9045,0.5802,0.1824,0.0396
23,6,0.6870,0.7055,0.9280,0.7436,0.6237,0.6370,0.6216,0.8157,0.4698,0.4464
23,7,0.6738,0.7259,0.9292,0.2469,0.7130,0.5229,0.8362,0.8590,0.6367,0.1229
23,8,0.7610,0.8022,0.9206,0.6667,0.5493,0.2000,0.6763,0.8923,0.5955,0.8796
23,9,0.5550,0.8484,0.9475,0.0000,0.0784,0.6774,0.9223,0.3333,0.5907,0.8664
23,10,0.6879,0.8494,0.9477,0.3495,0.0952,0.7136,0.7414,0.7222,0.5340,0.8665
23,MEAN,0.6874,0.7274,0.9014,0.3826,0.4392,0.5938,0.7200,0.6718,0.5348,0.4869
24,1,0.7947,0.6342,0.9282,0.0308,0.2353,0.7539,0.7356,0.0000,0.4582,0.0406
24,2,0.8817,0.5620,0.9112,0.0779,0.5412,0.5008,0.1849,0.3631,0.5346,0.2889
