dataset,file,class_columns_used,epsilon_target,epsilon_spent,dp_noise_multiplier,n_rounds,best_macro_f1,best_round,best_accuracy,final_macro_f1,final_round,final_accuracy,final_loss,krum_detected_byzantine_final,krum_score_ratio_final,duplicate_epsilon_flag
application,results_application_gaussian_dp13.csv,"Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting",13.0,12.9937,0.5326,25,0.636567,23,0.799466,0.557876,25,0.731726,0.80649,1.0,1787315.8837,
application,results_application_gaussian_dp14.csv,"Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting",14.0,13.9948,0.5185,25,0.637779,25,0.791167,0.637779,25,0.791167,0.627234,1.0,1787966.0207,
application,results_application_gaussian_dp15.csv,"Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting",15.0,14.994,0.5063,25,0.613214,25,0.777205,0.613214,25,0.777205,0.624041,1.0,1782162.0555,
network,results_network_gaussian_dp0p2.csv,"Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM",0.2,0.1953,5.1758,25,0.617537,22,0.86362,0.60399,25,0.841485,0.469816,1.0,3252753.9326,
network,results_network_gaussian_dp0p3.csv,"Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM",0.3,0.2962,3.5693,25,0.604039,24,0.854546,0.569184,25,0.834176,0.480338,1.0,3253023.3898,
network,results_network_gaussian_dp0p4.csv,"Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM",0.4,0.3956,2.7979,25,0.664342,23,0.885699,0.650727,25,0.870133,0.362646,1.0,3245194.7323,
network,results_network_gaussian_dp0_5.csv,"Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM",0.5,0.4942,2.3413,25,0.630872,25,0.865763,0.630872,25,0.865763,0.401741,1.0,3259537.6903,
network,results_network_gaussian_dp1.csv,"Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM",1.0,0.9964,1.438,25,0.705489,25,0.889305,0.705489,25,0.889305,0.323214,1.0,3252405.5323,
network,results_network_gaussian_dp2.csv,"Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM",2.0,1.9948,1.0129,25,0.751436,23,0.914057,0.742743,25,0.911165,0.241779,1.0,3261431.6397,
network,results_network_gaussian_dp3.csv,"Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM",3.0,2.9954,0.8592,25,0.728502,23,0.898598,0.719834,25,0.905564,0.262579,1.0,3263639.3524,
network,results_network_gaussian_dp4.csv,"Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM",4.0,3.9962,0.7711,25,0.738103,21,0.911264,0.640147,25,0.845903,0.465051,1.0,3263208.9027,
network,results_network_gaussian_dp5.csv,"Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM",5.0,4.9958,0.7112,25,0.737225,22,0.906578,0.702345,25,0.893052,0.292828,1.0,3275343.8876,
network,results_network_gaussian_dp6.csv,"Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM",6.0,5.9982,0.6666,25,0.686754,24,0.873181,0.608125,25,0.821037,0.461023,1.0,3262950.0824,
network,results_network_gaussian_dp7.csv,"Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM",7.0,6.9968,0.6316,25,0.768555,23,0.925631,0.737448,25,0.90794,0.280579,1.0,3278665.8206,
network,results_network_gaussian_dp08.csv,"Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM",8.0,7.998,0.603,25,0.787292,23,0.941396,0.763376,25,0.918801,0.232437,1.0,3284249.8178,
network,results_network_gaussian_dp09.csv,"Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM",9.0,8.9975,0.5789,25,0.780477,23,0.932812,0.776832,25,0.929744,0.192231,1.0,3279020.1677,
network,results_network_gaussian_dp10.csv,"Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM",10.0,9.9964,0.5584,25,0.753472,25,0.90803,0.753472,25,0.90803,0.246993,1.0,3266951.8124,
network,results_network_gaussian_dp11.csv,"Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM",11.0,10.9981,0.5404,25,0.81981,25,0.952871,0.81981,25,0.952871,0.15275,1.0,3268689.9063,
network,results_network_gaussian_dp12.csv,"Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM",12.0,11.9977,0.5246,25,0.798242,24,0.941759,0.78644,25,0.929646,0.190587,1.0,3271057.2186,
network,results_network_gaussian_dp13.csv,"Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM",13.0,12.9989,0.5105,25,0.776589,24,0.935709,0.7667,25,0.933175,0.205787,1.0,3268833.703,
network,results_network_gaussian_dp14.csv,"Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM",14.0,13.9993,0.4977,25,0.776759,22,0.937172,0.759973,25,0.928865,0.183721,1.0,3296896.622,
network,results_network_gaussian_dp15.csv,"Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM",15.0,14.9995,0.4862,25,0.778298,25,0.923759,0.778298,25,0.923759,0.188318,1.0,3297997.1472,
